year,Base case diesel consumed,Unalakleet (anvik river)
2021,37484.2873086,0.0
2022,37484.2873086,0.0
2023,37567.7712447,83.4839360993
2024,37567.7712447,83.4839360993
2025,37567.7712447,83.4839360993
2026,37651.2551808,166.967872199
2027,37651.2551808,166.967872199
2028,37651.2551808,166.967872199
2029,37734.7391169,250.451808298
2030,37734.7391169,250.451808298
2031,37734.7391169,250.451808298
2032,37818.223053,333.935744397
2033,37818.223053,333.935744397
2034,37901.7069891,417.419680496
2035,37901.7069891,417.419680496
2036,37901.7069891,417.419680496
2037,37901.7069891,417.419680496
2038,37985.1909252,500.903616596
2039,37985.1909252,500.903616596
2040,37985.1909252,500.903616596
2041,37985.1909252,500.903616596
2042,38068.6748613,584.387552695
2043,38068.6748613,584.387552695
2044,38068.6748613,584.387552695
2045,38068.6748613,584.387552695
2046,38068.6748613,584.387552695
2047,38068.6748613,584.387552695
2048,38068.6748613,584.387552695
2049,38068.6748613,584.387552695
2050,38068.6748613,584.387552695
2051,38068.6748613,584.387552695
2052,38068.6748613,584.387552695
2053,38068.6748613,584.387552695
2054,38068.6748613,584.387552695
2055,38068.6748613,584.387552695
2056,38068.6748613,584.387552695
2057,38068.6748613,584.387552695
2058,38068.6748613,584.387552695
2059,38068.6748613,584.387552695
2060,38068.6748613,584.387552695
2061,38068.6748613,584.387552695
2062,38068.6748613,584.387552695
2063,38068.6748613,584.387552695
2064,38068.6748613,584.387552695
2065,38068.6748613,584.387552695
2066,38068.6748613,584.387552695
2067,38068.6748613,584.387552695
2068,38068.6748613,584.387552695
2069,38068.6748613,584.387552695
2070,38068.6748613,584.387552695
