year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,2713.63739277,1763.8643053
2018,2695.42635517,1752.02713086
2019,2674.72421571,1738.57074021
2020,2649.0095461,1721.85620497
2021,2634.47667453,1712.40983845
2022,2622.8963002,1704.88259513
2023,2622.58437092,1704.6798411
2024,2615.6136181,1700.14885176
2025,2613.48643374,1698.76618193
2026,2603.96175997,1692.57514398
2027,2576.40800734,1674.66520477
2028,2563.57774973,1666.32553733
2029,2551.85874016,1658.70818111
2030,2537.68112138,1649.4927289
2031,2533.89248039,1647.03011225
