year,Base case diesel consumed,Modeled residential energy efficiency
2017,8291.09844567,6429.32259863
2018,7358.47461021,5496.69876317
2019,7358.47461021,5496.69876317
2020,7358.47461021,5496.69876317
2021,7358.47461021,5496.69876317
2022,7358.47461021,5496.69876317
2023,7358.47461021,5496.69876317
2024,7358.47461021,5496.69876317
2025,7358.47461021,5496.69876317
2026,7358.47461021,5496.69876317
2027,7358.47461021,5496.69876317
2028,7358.47461021,5496.69876317
2029,7358.47461021,5496.69876317
2030,7358.47461021,5496.69876317
2031,7358.47461021,5496.69876317
2032,7358.47461021,5496.69876317
2033,7358.47461021,5496.69876317
2034,7358.47461021,5496.69876317
2035,6425.85077475,4564.0749277
2036,6425.85077475,4564.0749277
