year,Base case diesel consumed,Modeled residential energy efficiency
2017,90150.7448442,76323.0189791
2018,90839.5685471,77011.842682
2019,91528.39225,77700.6663849
2020,91528.39225,77700.6663849
2021,92217.2159529,78389.4900878
2022,92906.0396559,79078.3137908
2023,92906.0396559,79078.3137908
2024,93594.8633588,79767.1374937
2025,94283.6870617,80455.9611966
2026,94283.6870617,80455.9611966
2027,94972.5107646,81144.7848995
2028,95661.3344676,81833.6086025
2029,95661.3344676,81833.6086025
2030,95661.3344676,81833.6086025
2031,96350.1581705,82522.4323054
2032,97038.9818734,83211.2560083
2033,97727.8055763,83900.0797113
2034,99105.4529822,85277.7271171
2035,99794.2766851,85966.55082
2036,100483.100388,86655.374523
