year,Base case diesel consumed,Fort yukon heat recovery
2017,294063.599321,149063.599321
2018,294063.599321,149063.599321
2019,294063.599321,149063.599321
2020,294063.599321,149063.599321
2021,294063.599321,149063.599321
2022,294063.599321,149063.599321
2023,294063.599321,149063.599321
2024,294063.599321,149063.599321
2025,294063.599321,149063.599321
2026,294063.599321,149063.599321
2027,294063.599321,149063.599321
2028,294063.599321,149063.599321
2029,294063.599321,149063.599321
2030,294063.599321,149063.599321
2031,294063.599321,149063.599321
