year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,43574000
2004,,0,0,0,0,0,44232900
2005,,0,0,0,0,0,43634740
2006,,0,0,0,0,0,42691600
2007,,0,0,0,0,0,42940400
2008,,0,0,0,0,0,42944500
2009,,0,0,0,0,0,42311478
2010,,0,0,0,0,0,43148640
2011,,0,0,0,0,0,43048480
2012,,0,0,0,0,0,45531840
2013,,0,0,0,0,0,43854080
2014,start of forecast,0,0,0,0,0,43312000
2015,,0,0,0,0,0,43303000
2016,,0,0,0,0,0,43292000
2017,,0,0,0,0,0,43279000
2018,,0,0,0,0,0,43266000
2019,,0,0,0,0,0,43252000
2020,,0,0,0,0,0,43239000
2021,,0,0,0,0,0,43214000
2022,,0,0,0,0,0,43202000
2023,,0,0,0,0,0,43190000
2024,,0,0,0,0,0,43171000
2025,,0,0,0,0,0,43155000
2026,,0,0,0,0,0,43141000
2027,,0,0,0,0,0,43127000
2028,,0,0,0,0,0,43110000
2029,,0,0,0,0,0,43096000
2030,,0,0,0,0,0,43080000
2031,,0,0,0,0,0,43069000
2032,,0,0,0,0,0,43054000
2033,,0,0,0,0,0,43038000
2034,,0,0,0,0,0,43024000
2035,,0,0,0,0,0,43008000
2036,,0,0,0,0,0,42986000
2037,,0,0,0,0,0,42966000
2038,,0,0,0,0,0,42949000
2039,,0,0,0,0,0,42933000
2040,,0,0,0,0,0,42916000
