year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation wind [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation biomass [kWh/year],generation solar [kWh/year],generation wind [kWh/year],generation natural gas [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,0,0,11931.33,643810.0,0.0,0.0,0.0,0.0,0.0,643810.0
2004,,0,0,11931.33,646437.0,0.0,0.0,0.0,0.0,0.0,646437.0
2005,,0,0,11931.33,628383.0,0.0,0.0,0.0,0.0,0.0,628383.0
2006,,0,0,11931.33,627488.0,0.0,0.0,0.0,0.0,0.0,627488.0
2007,,0,0,11931.33,622816.0,0.0,0.0,0.0,0.0,0.0,622816.0
2008,,0,0,11931.33,607191.0,0.0,0.0,0.0,0.0,0.0,607191.0
2009,,0,0,11931.33,588233.0,0.0,0.0,0.0,0.0,0.0,588233.0
2010,,0,0,11931.33,635007.0,0.0,0.0,0.0,0.0,0.0,635007.0
2011,,0,0,11931.33,664080.0,0.0,0.0,0.0,0.0,0.0,664080.0
2012,,0,0,11931.33,777126.0,0.0,0.0,0.0,0.0,0.0,777126.0
2013,,0,0,11931.33,783837.0,0.0,0.0,0.0,0.0,0.0,783837.0
2014,start of forecast,0,0,11931.33,733000.0,0.0,0.0,0.0,0.0,0.0,733000.0
2015,,0,0,11931.33,733000.0,0.0,0.0,0.0,0.0,0.0,733000.0
2016,,0,0,11931.33,733000.0,0.0,0.0,0.0,0.0,0.0,733000.0
2017,,0,0,11931.33,733000.0,0.0,0.0,0.0,0.0,0.0,733000.0
2018,,0,0,11931.33,733000.0,0.0,0.0,0.0,0.0,0.0,733000.0
2019,,0,0,11931.33,733000.0,0.0,0.0,0.0,0.0,0.0,733000.0
2020,,0,0,11931.33,733000.0,0.0,0.0,0.0,0.0,0.0,733000.0
2021,,0,0,11931.33,734000.0,0.0,0.0,0.0,0.0,0.0,734000.0
2022,,0,0,11931.33,733000.0,0.0,0.0,0.0,0.0,0.0,733000.0
2023,,0,0,11931.33,733000.0,0.0,0.0,0.0,0.0,0.0,733000.0
2024,,0,0,11931.33,733000.0,0.0,0.0,0.0,0.0,0.0,733000.0
2025,,0,0,11931.33,733000.0,0.0,0.0,0.0,0.0,0.0,733000.0
2026,,0,0,11931.33,734000.0,0.0,0.0,0.0,0.0,0.0,734000.0
2027,,0,0,11931.33,734000.0,0.0,0.0,0.0,0.0,0.0,734000.0
2028,,0,0,11931.33,734000.0,0.0,0.0,0.0,0.0,0.0,734000.0
2029,,0,0,11931.33,735000.0,0.0,0.0,0.0,0.0,0.0,735000.0
2030,,0,0,11931.33,736000.0,0.0,0.0,0.0,0.0,0.0,736000.0
2031,,0,0,11931.33,737000.0,0.0,0.0,0.0,0.0,0.0,737000.0
2032,,0,0,11931.33,737000.0,0.0,0.0,0.0,0.0,0.0,737000.0
2033,,0,0,11931.33,737000.0,0.0,0.0,0.0,0.0,0.0,737000.0
2034,,0,0,11931.33,736000.0,0.0,0.0,0.0,0.0,0.0,736000.0
2035,,0,0,11931.33,736000.0,0.0,0.0,0.0,0.0,0.0,736000.0
2036,,0,0,11931.33,737000.0,0.0,0.0,0.0,0.0,0.0,737000.0
2037,,0,0,11931.33,737000.0,0.0,0.0,0.0,0.0,0.0,737000.0
2038,,0,0,11931.33,738000.0,0.0,0.0,0.0,0.0,0.0,738000.0
2039,,0,0,11931.33,739000.0,0.0,0.0,0.0,0.0,0.0,739000.0
2040,,0,0,11931.33,739000.0,0.0,0.0,0.0,0.0,0.0,739000.0
