year,Base case cost,Modeled water and wastewater efficiency
2017,103853.804489,91943.8657444
2018,108894.779512,93052.8788925
2019,115741.663039,94949.3312473
2020,119192.018458,95435.9136426
2021,121440.54563,95437.6858143
2022,123088.148904,95207.9855206
2023,124333.327245,94829.8203788
2024,125178.185675,94303.9725862
2025,126421.571511,93966.9298227
2026,127863.342154,93733.6892637
2027,129099.656053,93432.6059981
2028,130130.939584,93063.4813889
2029,131376.85669,92806.6239273
2030,132213.393745,92393.7762666
2031,133641.725862,92247.2839884
