year,Base case diesel consumed,Modeled residential energy efficiency
2017,309268.317904,240641.8588
2018,310944.933325,242318.474221
2019,310944.933325,242318.474221
2020,310944.933325,242318.474221
2021,310944.933325,242318.474221
2022,310944.933325,242318.474221
2023,310944.933325,242318.474221
2024,310944.933325,242318.474221
2025,310944.933325,242318.474221
2026,310944.933325,242318.474221
2027,309268.317904,240641.8588
2028,307591.702483,238965.243379
2029,307591.702483,238965.243379
2030,305915.087062,237288.627958
2031,302561.85622,233935.397116
2032,299208.625378,230582.166274
2033,295855.394536,227228.935431
2034,292502.163694,223875.704589
2035,289148.932852,220522.473747
2036,285795.702009,217169.242905
