year,Base case diesel consumed,Modeled residential energy efficiency
2017,41779.176982,30473.8227151
2018,41779.176982,30473.8227151
2019,41779.176982,30473.8227151
2020,41779.176982,30473.8227151
2021,41779.176982,30473.8227151
2022,41779.176982,30473.8227151
2023,41779.176982,30473.8227151
2024,41779.176982,30473.8227151
2025,41779.176982,30473.8227151
2026,41779.176982,30473.8227151
2027,41779.176982,30473.8227151
2028,40378.7480339,29073.3937669
2029,40378.7480339,29073.3937669
2030,40378.7480339,29073.3937669
2031,40378.7480339,29073.3937669
2032,40378.7480339,29073.3937669
2033,40378.7480339,29073.3937669
2034,40378.7480339,29073.3937669
2035,40378.7480339,29073.3937669
2036,38978.3190857,27672.9648188
