year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation wind [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation biomass [kWh/year],generation solar [kWh/year],generation wind [kWh/year],generation natural gas [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,0,0,3825.61,10835112.0,0.0,0.0,0.0,0.0,10710023.0,125089.0
2004,,0,0,3825.61,11012757.0,0.0,0.0,0.0,0.0,10892117.0,120640.0
2005,,0,0,3825.61,11882796.0,0.0,0.0,0.0,0.0,11760276.0,122520.0
2006,,0,0,3825.61,14173577.0,0.0,0.0,0.0,0.0,14120073.0,53504.0
2007,,0,0,3825.61,13517197.0,0.0,0.0,0.0,0.0,12410451.0,1106746.0
2008,,0,0,3825.61,13744656.0,0.0,0.0,0.0,0.0,10701578.0,3043078.0
2009,,0,0,3825.61,13953806.0,0.0,0.0,0.0,0.0,12598988.0,1354818.0
2010,,0,0,3825.61,12757845.0,0.0,0.0,0.0,0.0,12702437.0,55408.0
2011,,0,0,3825.61,13310522.0,0.0,0.0,0.0,0.0,13065272.0,245250.0
2012,,0,0,3825.61,12999236.0,0.0,0.0,0.0,0.0,12923223.0,76013.0
2013,,0,0,3825.61,13189911.0,0.0,0.0,0.0,0.0,12886301.0,303610.0
2014,start of forecast,0,0,3825.61,13220000.0,0.0,0.0,0.0,0.0,12958265.33,261734.67
2015,,0,0,3825.61,13238000.0,0.0,0.0,0.0,0.0,12922596.44,315403.56
2016,,0,0,3825.61,13255000.0,0.0,0.0,0.0,0.0,12922387.59,332612.41
2017,,0,0,3825.61,13269000.0,0.0,0.0,0.0,0.0,12934416.46,334583.54
2018,,0,0,3825.61,13284000.0,0.0,0.0,0.0,0.0,12926466.83,357533.17
2019,,0,0,3825.61,13299000.0,0.0,0.0,0.0,0.0,12927756.96,371243.04
2020,,0,0,3825.61,13312000.0,0.0,0.0,0.0,0.0,12929546.75,382453.25
2021,,0,0,3825.61,13323000.0,0.0,0.0,0.0,0.0,12927923.51,395076.49
2022,,0,0,3825.61,13339000.0,0.0,0.0,0.0,0.0,12928409.07,410590.93
2023,,0,0,3825.61,13353000.0,0.0,0.0,0.0,0.0,12928626.45,424373.55
2024,,0,0,3825.61,13370000.0,0.0,0.0,0.0,0.0,12928319.68,441680.32
2025,,0,0,3825.61,13385000.0,0.0,0.0,0.0,0.0,12928451.73,456548.27
2026,,0,0,3825.61,13403000.0,0.0,0.0,0.0,0.0,12928465.95,474534.05
2027,,0,0,3825.61,13420000.0,0.0,0.0,0.0,0.0,12928412.45,491587.55
2028,,0,0,3825.61,13438000.0,0.0,0.0,0.0,0.0,12928443.38,509556.62
2029,,0,0,3825.61,13460000.0,0.0,0.0,0.0,0.0,12928440.6,531559.4
2030,,0,0,3825.61,13484000.0,0.0,0.0,0.0,0.0,12928432.14,555567.86
2031,,0,0,3825.61,13508000.0,0.0,0.0,0.0,0.0,12928438.71,579561.29
2032,,0,0,3825.61,13535000.0,0.0,0.0,0.0,0.0,12928437.15,606562.85
2033,,0,0,3825.61,13559000.0,0.0,0.0,0.0,0.0,12928436.0,630564.0
2034,,0,0,3825.61,13585000.0,0.0,0.0,0.0,0.0,12928437.28,656562.72
2035,,0,0,3825.61,13615000.0,0.0,0.0,0.0,0.0,12928436.81,686563.19
2036,,0,0,3825.61,13647000.0,0.0,0.0,0.0,0.0,12928436.7,718563.3
2037,,0,0,3825.61,13682000.0,0.0,0.0,0.0,0.0,12928436.93,753563.07
2038,,0,0,3825.61,13719000.0,0.0,0.0,0.0,0.0,12928436.81,790563.19
2039,,0,0,3825.61,13758000.0,0.0,0.0,0.0,0.0,12928436.81,829563.19
2040,,0,0,3825.61,13797000.0,0.0,0.0,0.0,0.0,12928436.85,868563.15
