year,Base case diesel consumed,Modeled residential energy efficiency
2017,42417.526728,35667.9193373
2018,42417.526728,35667.9193373
2019,41566.1121601,34816.5047695
2020,41566.1121601,34816.5047695
2021,41566.1121601,34816.5047695
2022,41566.1121601,34816.5047695
2023,41566.1121601,34816.5047695
2024,40714.6975923,33965.0902017
2025,40714.6975923,33965.0902017
2026,39863.2830245,33113.6756338
2027,39863.2830245,33113.6756338
2028,39011.8684566,32262.261066
2029,39011.8684566,32262.261066
2030,39011.8684566,32262.261066
2031,38160.4538888,31410.8464982
