year,Base case diesel consumed,Modeled residential energy efficiency
2017,1950727.55243,1534809.48554
2018,1953823.07139,1537905.0045
2019,1956144.71061,1540226.64372
2020,1954596.95113,1538678.88424
2021,1953823.07139,1537905.0045
2022,1949953.67268,1534035.6058
2023,1944536.5145,1528618.44761
2024,1939893.23606,1523975.16917
2025,1932928.31839,1517010.2515
2026,1924415.64124,1508497.57436
2027,1915129.08436,1499211.01747
2028,1905842.52747,1489924.46058
2029,1896555.97058,1480637.90369
2030,1885721.65421,1469803.58732
2031,1872565.69862,1456647.63173
2032,1858635.86329,1442717.7964
2033,1844706.02796,1428787.96107
2034,1830776.19263,1414858.12574
2035,1816072.47755,1400154.41067
2036,1799821.003,1383902.93611
