year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,58474.95,2731.61,70451.17,63006.65
2018,58508.03,2747.5,70451.17,63006.65
2019,58387.03,2758.13,70451.17,64087.66
2020,58456.67,2772.33,70451.17,64087.66
2021,58450.58,2784.5,70451.17,64087.66
2022,58431.43,2790.84,70451.17,65168.68
2023,58446.22,2797.11,70451.17,65168.68
2024,58442.74,2802.47,70451.17,65168.68
2025,58440.13,2809.17,70451.17,65168.68
2026,58443.03,2827.92,70451.17,66249.69
2027,58441.97,2843.39,70451.17,66249.69
2028,58441.71,2853.57,70451.17,66249.69
2029,58442.24,2863.87,70451.17,67330.7
2030,58441.97,2874.64,70451.17,67330.7
2031,58441.97,2884.02,70451.17,67330.7
2032,58442.06,,,67330.7
2033,58442.0,,,68411.71
2034,58442.01,,,68411.71
2035,58442.02,,,69492.73
2036,58442.01,,,69492.73
