year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation wind [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation biomass [kWh/year],generation solar [kWh/year],generation wind [kWh/year],generation natural gas [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,0,0,32665.25,4076302.0,0.0,0.0,0.0,0.0,0.0,4076302.0
2004,,0,0,32665.25,2877464.0,0.0,0.0,0.0,0.0,0.0,2877464.0
2005,,0,0,32665.25,2633975.0,0.0,0.0,0.0,0.0,0.0,2633975.0
2006,,0,0,32665.25,3353985.0,0.0,0.0,0.0,0.0,0.0,3353985.0
2007,,0,0,32665.25,2531131.0,0.0,0.0,0.0,0.0,0.0,2531131.0
2008,,0,0,32665.25,2608540.0,0.0,0.0,0.0,0.0,0.0,2608540.0
2009,,0,0,32665.25,2553077.0,0.0,0.0,0.0,0.0,0.0,2553077.0
2010,,0,0,32665.25,2498218.0,0.0,0.0,0.0,0.0,0.0,2498218.0
2011,,0,0,32665.25,2831388.0,0.0,0.0,0.0,0.0,0.0,2831388.0
2012,,0,0,32665.25,3020308.0,0.0,0.0,0.0,0.0,0.0,3020308.0
2013,,0,0,32665.25,3101990.0,0.0,0.0,0.0,0.0,0.0,3101990.0
2014,start of forecast,0,0,32665.25,2778000.0,0.0,4939.0,0.0,0.0,0.0,2773061.0
2015,,0,0,32665.25,2692000.0,0.0,4939.0,0.0,0.0,0.0,2687061.0
2016,,0,0,32665.25,2584000.0,0.0,4939.0,0.0,0.0,0.0,2579061.0
2017,,0,0,32665.25,2476000.0,0.0,4939.0,0.0,0.0,0.0,2471061.0
2018,,0,0,32665.25,2419000.0,0.0,4939.0,0.0,0.0,0.0,2414061.0
2019,,0,0,32665.25,2428000.0,0.0,4939.0,0.0,0.0,0.0,2423061.0
2020,,0,0,32665.25,2433000.0,0.0,4939.0,0.0,0.0,0.0,2428061.0
2021,,0,0,32665.25,2423000.0,0.0,4939.0,0.0,0.0,0.0,2418061.0
2022,,0,0,32665.25,2449000.0,0.0,4939.0,0.0,0.0,0.0,2444061.0
2023,,0,0,32665.25,2487000.0,0.0,4939.0,0.0,0.0,0.0,2482061.0
2024,,0,0,32665.25,2556000.0,0.0,4939.0,0.0,0.0,0.0,2551061.0
2025,,0,0,32665.25,2622000.0,0.0,4939.0,0.0,0.0,0.0,2617061.0
2026,,0,0,32665.25,2687000.0,0.0,4939.0,0.0,0.0,0.0,2682061.0
2027,,0,0,32665.25,2723000.0,0.0,4939.0,0.0,0.0,0.0,2718061.0
2028,,0,0,32665.25,2749000.0,0.0,4939.0,0.0,0.0,0.0,2744061.0
2029,,0,0,32665.25,3091000.0,0.0,4939.0,0.0,0.0,0.0,3086061.0
2030,,0,0,32665.25,3422000.0,0.0,4939.0,0.0,0.0,0.0,3417061.0
2031,,0,0,32665.25,3692000.0,0.0,4939.0,0.0,0.0,0.0,3687061.0
2032,,0,0,32665.25,3637000.0,0.0,4939.0,0.0,0.0,0.0,3632061.0
2033,,0,0,32665.25,3493000.0,0.0,4939.0,0.0,0.0,0.0,3488061.0
2034,,0,0,32665.25,3377000.0,0.0,4939.0,0.0,0.0,0.0,3372061.0
2035,,0,0,32665.25,3362000.0,0.0,4939.0,0.0,0.0,0.0,3357061.0
2036,,0,0,32665.25,3487000.0,0.0,4939.0,0.0,0.0,0.0,3482061.0
2037,,0,0,32665.25,3742000.0,0.0,4939.0,0.0,0.0,0.0,3737061.0
2038,,0,0,32665.25,3978000.0,0.0,4939.0,0.0,0.0,0.0,3973061.0
2039,,0,0,32665.25,4063000.0,0.0,4939.0,0.0,0.0,0.0,4058061.0
2040,,0,0,32665.25,4025000.0,0.0,4939.0,0.0,0.0,0.0,4020061.0
