year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.43
2003,,0.96,1.84
2004,,1.25,2.54
2005,,1.67,3.34
2006,,2.24,3.84
2008,,3.05,4.89
2009,,3.49,4.48
2010,,2.63,3.89
2011,,3.08,3.89
2012,,3.56,5.28
2013,,3.59,5.56
2014,,,5.91
2016,,2.7,3.97
2017,,3.16,4.43
2018,,3.49,4.77
2019,,3.95,5.23
2020,,4.17,5.44
2021,,4.32,5.59
2022,,4.43,5.7
2023,,4.5,5.78
2024,,4.57,5.84
2025,,4.64,5.92
2026,,4.73,6.01
2027,,4.81,6.08
2028,,4.87,6.15
2029,,4.96,6.23
2030,,5.01,6.28
2031,,5.1,6.38
2032,,5.2,6.47
2033,,5.29,6.56
2034,,5.39,6.66
2035,,5.45,6.72
2036,,5.55,6.83
2037,,5.61,6.89
2038,,5.71,6.99
2039,,5.79,7.06
2040,,5.9,7.17
