year,Base case diesel consumed,Modeled residential energy efficiency
2017,34585.0295403,30125.0560916
2018,35293.0994161,30833.1259673
2019,36001.1692918,31541.195843
2020,36709.2391675,32249.2657187
2021,37417.3090432,32957.3355944
2022,38125.3789189,33665.4054701
2023,38833.4487946,34373.4753458
2024,38833.4487946,34373.4753458
2025,39541.5186703,35081.5452215
2026,40957.6584217,36497.684973
2027,41665.7282975,37205.7548487
2028,42373.7981732,37913.8247244
2029,43081.8680489,38621.8946001
2030,43789.9379246,39329.9644758
2031,45206.077676,40746.1042272
2032,45914.1475517,41454.1741029
2033,46622.2174274,42162.2439786
2034,47330.2873031,42870.3138544
2035,48038.3571789,43578.3837301
2036,48746.4270546,44286.4536058
