year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,2731.61159093,1775.54753411
2018,2747.50026619,1785.87517302
2019,2758.12789964,1792.78313476
2020,2772.32503617,1802.01127351
2021,2784.49753521,1809.92339788
2022,2790.84149078,1814.04696901
2023,2797.10731207,1818.11975285
2024,2802.47390371,1821.60803741
2025,2809.1674074,1825.95881481
2026,2827.92100641,1838.14865417
2027,2843.38885316,1848.20275455
2028,2853.57372566,1854.82292168
2029,2863.86963109,1861.51526021
2030,2874.64256688,1868.51766848
2031,2884.018681,1874.61214265
