year,annotation,diesel generation efficiency
2002,,11.29
2003,,11.3
2004,,12.15
2005,,12.01
2006,,11.98
2007,,10.77
2008,,11.64
2009,,12.35
2010,,12.36
2011,,12.06
2012,,
2013,,11.17
2014,start of forecast,12.12
2015,,12.12
2016,,12.12
2017,,12.12
2018,,12.12
2019,,12.12
2020,,12.12
2021,,12.12
2022,,12.12
2023,,12.12
2024,,12.12
2025,,12.12
2026,,12.12
2027,,12.12
2028,,12.12
2029,,12.12
2030,,12.12
2031,,12.12
2032,,12.12
2033,,12.12
2034,,12.12
2035,,12.12
2036,,12.12
2037,,12.12
2038,,12.12
2039,,12.12
2040,,12.12
