year,Base case cost,Modeled water and wastewater efficiency
2017,53934.8612485,35009.7336204
2018,56827.3368986,36739.1788642
2019,60650.346496,39061.9547568
2020,62483.9447548,40073.0187875
2021,63689.0346029,40670.8650834
2022,64579.3198712,41061.0845876
2023,65260.1839501,41314.8809979
2024,65731.6728743,41431.3122378
2025,66305.8881341,41613.8650103
2026,67085.6737825,41926.9868491
2027,67658.0242805,42109.0287505
2028,68126.6987257,42226.578271
2029,68795.0399566,42453.9971389
2030,69257.6372276,42555.0920654
2031,70029.7139396,42856.4926844
