year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,2.85,4.35
2008,,5.1,6.74
2009,,4.17,7.99
2010,,3.92,5.9
2011,,4.57,7.12
2012,,5.3,8.14
2013,,5.3,7.65
2014,,,7.65
2016,,2.54,3.26
2017,,3.12,3.84
2018,,3.56,4.28
2019,,4.18,4.9
2020,,4.47,5.19
2021,,4.68,5.4
2022,,4.83,5.55
2023,,4.94,5.66
2024,,5.03,5.75
2025,,5.13,5.85
2026,,5.26,5.98
2027,,5.37,6.09
2028,,5.46,6.18
2029,,5.59,6.31
2030,,5.66,6.38
2031,,5.79,6.51
2032,,5.93,6.65
2033,,6.07,6.79
2034,,6.21,6.93
2035,,6.3,7.02
2036,,6.45,7.17
2037,,6.54,7.26
2038,,6.69,7.41
2039,,6.8,7.52
2040,,6.97,7.69
