year,Base case diesel consumed,Modeled residential energy efficiency
2017,93496.1595398,62296.6481749
2018,95658.1854065,64458.6740416
2019,96739.1983399,65539.686975
2020,97820.2112732,66620.6999083
2021,98901.2242066,67701.7128417
2022,99982.2371399,68782.725775
2023,101063.250073,69863.7387084
2024,102144.263007,70944.7516417
2025,104306.288873,73106.7775084
2026,105387.301807,74187.7904417
2027,106468.31474,75268.8033751
2028,108630.340607,77430.8292418
2029,109711.35354,78511.8421751
2030,110792.366473,79592.8551085
2031,111873.379407,80673.8680418
2032,114035.405273,82835.8939085
2033,115116.418207,83916.9068419
2034,117278.444073,86078.9327086
2035,118359.457007,87159.9456419
2036,120521.482873,89321.9715086
