year,Base case diesel consumed,Modeled residential energy efficiency
2017,6918.31521567,5991.14146145
2018,6918.31521567,5991.14146145
2019,6918.31521567,5991.14146145
2020,6918.31521567,5991.14146145
2021,6918.31521567,5991.14146145
2022,6918.31521567,5991.14146145
2023,6918.31521567,5991.14146145
2024,7940.85960295,7013.68584873
2025,7940.85960295,7013.68584873
2026,7940.85960295,7013.68584873
2027,7940.85960295,7013.68584873
2028,7940.85960295,7013.68584873
2029,7940.85960295,7013.68584873
2030,7940.85960295,7013.68584873
2031,7940.85960295,7013.68584873
