year,Base case diesel consumed,Modeled residential energy efficiency
2017,633963.526532,467224.27073
2018,646756.121311,480016.865509
2019,658127.316671,491388.060869
2020,669498.51203,502759.256228
2021,679448.30797,512709.052168
2022,692240.902749,525501.646947
2023,703612.098109,536872.842307
2024,717826.092308,551086.836506
2025,732040.086507,565300.830706
2026,746254.080707,579514.824905
2027,761889.474326,595150.218524
2028,776103.468525,609364.212724
2029,794581.660985,627842.405183
2030,814481.252864,647741.997062
2031,835802.244163,669062.988361
