year,Base case diesel consumed,Modeled diesel efficiency
2019,148921.919738,135383.563398
2020,150582.560822,136893.237111
2021,151990.051749,138172.774317
2022,153373.106905,139430.097187
2023,154831.836575,140756.215068
2024,156173.263665,141975.694241
2025,157517.668864,143197.880786
2026,158874.19013,144431.081937
2027,160146.643155,145587.857414
2028,161421.104212,146746.458375
2029,162922.244422,148111.131292
2030,164346.594012,149405.994557
2031,165696.578858,150633.253507
2032,166896.742593,151724.311448
2033,168021.580223,152746.891112
2034,169221.57624,153837.796582
2035,170421.574754,154928.704322
2036,171696.516354,156087.74214
2037,173046.491998,157314.992726
2038,174321.463918,158474.058107
