year,Base case diesel consumed,Modeled residential energy efficiency
2017,78219.9711563,62948.3272451
2018,79630.8512094,64359.2072982
2019,81041.7312624,65770.0873512
2020,81041.7312624,65770.0873512
2021,82452.6113154,67180.9674042
2022,83863.4913685,68591.8474573
2023,83863.4913685,68591.8474573
2024,85274.3714215,70002.7275103
2025,86685.2514745,71413.6075633
2026,86685.2514745,71413.6075633
2027,88096.1315276,72824.4876164
2028,88096.1315276,72824.4876164
2029,89507.0115806,74235.3676694
2030,89507.0115806,74235.3676694
2031,90917.8916336,75646.2477224
2032,90917.8916336,75646.2477224
2033,92328.7716867,77057.1277755
2034,93739.6517397,78468.0078285
2035,93739.6517397,78468.0078285
2036,95150.5317927,79878.8878815
