year,Base case diesel consumed,Modeled residential energy efficiency
2017,51138.2879292,45894.683011
2018,52158.9617242,46915.356806
2019,52158.9617242,46915.356806
2020,52158.9617242,46915.356806
2021,53179.6355192,47936.030601
2022,53179.6355192,47936.030601
2023,54200.3093142,48956.704396
2024,54200.3093142,48956.704396
2025,54200.3093142,48956.704396
2026,55220.9831092,49977.378191
2027,55220.9831092,49977.378191
2028,56241.6569042,50998.051986
2029,56241.6569042,50998.051986
2030,57262.3306992,52018.725781
2031,57262.3306992,52018.725781
2032,58283.0044942,53039.399576
2033,58283.0044942,53039.399576
2034,59303.6782892,54060.073371
2035,59303.6782892,54060.073371
2036,60324.3520843,55080.747166
