year,Base case diesel consumed,Modeled diesel efficiency
2019,141158.124177,128325.567434
2020,141299.77809,128454.343718
2021,141441.432003,128583.120003
2022,141583.085916,128711.896287
2023,141724.739829,128840.672572
2024,141795.566785,128905.060714
2025,141937.220698,129033.836998
2026,142078.874611,129162.613283
2027,142220.528524,129291.389567
2028,142362.182437,129420.165852
2029,142362.182437,129420.165852
2030,142433.009393,129484.553994
2031,142503.83635,129548.942136
2032,142787.144175,129806.494705
2033,143070.452001,130064.047274
2034,143353.759827,130321.599843
2035,143566.240696,130514.764269
2036,143849.548522,130772.316838
2037,144062.029391,130965.481265
2038,144274.510261,131158.645691
