year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,169071001,2257001
2004,,0,0,0,0,164922000,1819999
2005,,0,0,0,0,167105998,1556000
2006,,0,0,0,0,171817003,3274997
2007,,0,0,0,0,174346999,2362001
2008,,0,0,0,0,164051000,17751000
2009,,0,0,0,0,166770000,13837600
2010,,0,0,0,0,178519000,942080
2011,,0,0,0,0,183477000,3698640
2012,,0,0,0,0,295748000,1696540
2013,,0,0,0,0,267713000,11461520
2014,,0,0,0,0,273347000,1405060
2015,start of forecast,0,0,0,0,283884000,0
2016,,0,0,0,0,285937000,0
2017,,0,0,0,0,287829000,0
2018,,0,0,0,0,289539000,0
2019,,0,0,0,0,291070000,0
2020,,0,0,0,0,292438000,0
2021,,0,0,0,0,293621000,0
2022,,0,0,0,0,294628000,0
2023,,0,0,0,0,295499000,0
2024,,0,0,0,0,296233000,0
2025,,0,0,0,0,296794000,0
2026,,0,0,0,0,297202000,0
2027,,0,0,0,0,297474000,0
2028,,0,0,0,0,297624000,0
2029,,0,0,0,0,297720000,0
2030,,0,0,0,0,297742000,0
2031,,0,0,0,0,297613000,0
2032,,0,0,0,0,297334000,0
2033,,0,0,0,0,297008000,0
2034,,0,0,0,0,296559000,0
2035,,0,0,0,0,296071000,0
2036,,0,0,0,0,295552000,0
2037,,0,0,0,0,294923000,0
2038,,0,0,0,0,294229000,0
2039,,0,0,0,0,293464000,0
2040,,0,0,0,0,292611000,0
