year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9073.56666101,8210.32148822
2018,9203.59993023,8327.98359225
2019,9338.87916271,8450.39256667
2020,9476.48186206,8574.90395691
2021,9613.74049641,8699.10401595
2022,9752.82500562,8824.95623893
2023,9893.25561775,8952.02649867
2024,10037.1227676,9082.20634924
2025,10182.3099757,9213.58066967
2026,10329.3148339,9346.59971186
2027,10475.091476,9478.50738852
2028,10619.9277652,9609.56417594
2029,10783.7260114,9757.77890905
2030,10943.300894,9902.17208279
2031,11096.2302501,10040.5519752
