year,Base case diesel consumed,Modeled residential energy efficiency
2017,88972.5442593,65095.3671943
2018,90053.5571927,66176.3801277
2019,92215.5830593,68338.4059944
2020,93296.5959927,69419.4189277
2021,94377.608926,70500.4318611
2022,95458.6218594,71581.4447944
2023,96539.6347927,72662.4577278
2024,97620.6477261,73743.4706611
2025,100863.686526,76986.5094612
2026,101944.699459,78067.5223945
2027,103025.712393,79148.5353278
2028,104106.725326,80229.5482612
2029,106268.751193,82391.5741279
2030,107349.764126,83472.5870612
2031,108430.77706,84553.5999946
2032,110592.802926,86715.6258613
2033,111673.81586,87796.6387946
2034,113835.841726,89958.6646613
2035,114916.85466,91039.6775947
2036,117078.880526,93201.7034614
