year,Base case diesel consumed,Modeled diesel efficiency
2019,129439.846588,117672.587808
2020,130476.550165,118615.045605
2021,131587.303998,119624.821816
2022,132624.007574,120567.279613
2023,133734.761407,121577.055824
2024,134919.565494,122654.150449
2025,136030.319327,123663.926661
2026,137215.123414,124741.021286
2027,138473.977758,125885.434325
2028,139658.781845,126962.52895
2029,140917.636189,128106.94199
2030,142176.490532,129251.355029
2031,143509.395131,130463.086482
2032,144842.299729,131674.817936
2033,146175.204328,132886.549389
2034,147582.159182,134165.599257
2035,148915.063781,135377.33071
2036,150396.068891,136723.698992
2037,151803.023745,138002.748859
2038,153284.028855,139349.117141
