year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,0
2004,,0,0,0,0,0,0
2005,,0,0,0,0,0,0
2006,,0,0,0,0,0,0
2007,,0,0,0,0,0,0
2008,,0,0,0,0,0,0
2009,,0,0,0,0,0,0
2010,,0,0,0,0,0,0
2011,,0,0,0,0,0,0
2012,start of forecast,0,0,0,0,0,118000
2013,,0,0,0,0,0,119000
2014,,0,0,0,0,0,119000
2015,,0,0,0,0,0,119000
2016,,0,0,0,0,0,120000
2017,,0,0,0,0,0,120000
2018,,0,0,0,0,0,121000
2019,,0,0,0,0,0,121000
2020,,0,0,0,0,0,121000
2021,,0,0,0,0,0,122000
2022,,0,0,0,0,0,122000
2023,,0,0,0,0,0,122000
2024,,0,0,0,0,0,122000
2025,,0,0,0,0,0,122000
2026,,0,0,0,0,0,122000
2027,,0,0,0,0,0,122000
2028,,0,0,0,0,0,122000
2029,,0,0,0,0,0,122000
2030,,0,0,0,0,0,122000
2031,,0,0,0,0,0,122000
2032,,0,0,0,0,0,122000
2033,,0,0,0,0,0,122000
2034,,0,0,0,0,0,122000
2035,,0,0,0,0,0,122000
2036,,0,0,0,0,0,122000
2037,,0,0,0,0,0,122000
2038,,0,0,0,0,0,121000
2039,,0,0,0,0,0,121000
2040,,0,0,0,0,0,121000
