year,Base case diesel consumed,"Napaskiak, alaska heat recovery study"
2019,71198.4550987,64499.4550987
2020,71198.4550987,64499.4550987
2021,71198.4550987,64499.4550987
2022,71198.4550987,64499.4550987
2023,71198.4550987,64499.4550987
2024,71198.4550987,64499.4550987
2025,71198.4550987,64499.4550987
2026,71198.4550987,64499.4550987
2027,71198.4550987,64499.4550987
2028,71198.4550987,64499.4550987
2029,71198.4550987,64499.4550987
2030,71198.4550987,64499.4550987
2031,71198.4550987,64499.4550987
