year,Base case diesel consumed,Modeled residential energy efficiency
2017,240364.741159,178210.266374
2018,238116.913096,175962.43831
2019,238116.913096,175962.43831
2020,236992.999064,174838.524278
2021,235869.085032,173714.610247
2022,233621.256969,171466.782183
2023,231373.428906,169218.95412
2024,229125.600842,166971.126056
2025,226877.772779,164723.297993
2026,224629.944715,162475.46993
2027,222382.116652,160227.641866
2028,220134.288589,157979.813803
2029,217886.460525,155731.985739
2030,216762.546493,154608.071708
2031,214514.71843,152360.243644
