year,Base case diesel consumed,Modeled residential energy efficiency
2017,30303.4014914,21383.4663867
2018,30303.4014914,21383.4663867
2019,31420.3918489,22500.4567442
2020,32537.3822063,23617.4471016
2021,32537.3822063,23617.4471016
2022,33654.3725637,24734.437459
2023,33654.3725637,24734.437459
2024,34771.3629212,25851.4278164
2025,34771.3629212,25851.4278164
2026,35888.3532786,26968.4181739
2027,35888.3532786,26968.4181739
2028,35888.3532786,26968.4181739
2029,37005.343636,28085.4085313
2030,37005.343636,28085.4085313
2031,38122.3339935,29202.3988887
