year,Base case diesel consumed,Modeled residential energy efficiency
2017,141332.252231,67202.602325
2018,144806.480633,70676.8307271
2019,149149.266135,75019.6162298
2020,153492.051638,79362.4017325
2021,156966.28004,82836.6301346
2022,161309.065543,87179.4156373
2023,165651.851045,91522.2011399
2024,169994.636548,95864.9866426
2025,174337.422051,100207.772145
2026,178680.207553,104550.557648
2027,183022.993056,108893.343151
2028,188234.335659,114104.685754
2029,192577.121162,118447.471256
2030,197788.463765,123658.81386
2031,202131.249268,128001.599362
2032,207342.591871,133212.941965
2033,212553.934474,138424.284569
2034,217765.277077,143635.627172
2035,222976.619681,148846.969775
2036,228187.962284,154058.312378
