year,Base case diesel consumed,Modeled residential energy efficiency
2017,63387.3146829,48602.8344117
2018,63387.3146829,48602.8344117
2019,64278.1632528,49493.6829816
2020,65169.0118227,50384.5315515
2021,66059.8603926,51275.3801214
2022,66950.7089625,52166.2286914
2023,67841.5575324,53057.0772613
2024,68732.4061023,53947.9258312
2025,69623.2546722,54838.7744011
2026,70514.1032421,55729.622971
2027,71404.951812,56620.4715409
2028,72295.8003819,57511.3201108
2029,73186.6489518,58402.1686807
2030,74077.4975217,59293.0172506
2031,74077.4975217,59293.0172506
2032,74968.3460916,60183.8658205
2033,75859.1946615,61074.7143904
2034,76750.0432314,61965.5629603
2035,77640.8918013,62856.4115302
2036,78531.7403712,63747.2601001
