year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.6
2001,,,2.6
2004,,1.2,3.5
2005,,1.62,3.75
2006,,2.08,4.75
2008,,3.09,4.68
2009,,3.56,4.72
2010,,2.47,4.72
2012,,3.69,5.57
2013,,3.66,5.61
2014,,,6.16
2016,start of forecast,1.62,2.9
2017,,1.93,3.21
2018,,2.15,3.43
2019,,2.47,3.75
2020,,2.61,3.89
2021,,2.72,4.0
2022,,2.79,4.07
2023,,2.85,4.13
2024,,2.89,4.17
2025,,2.94,4.22
2026,,3.0,4.28
2027,,3.06,4.34
2028,,3.1,4.38
2029,,3.16,4.44
2030,,3.2,4.48
2031,,3.26,4.54
2032,,3.33,4.61
2033,,3.39,4.67
2034,,3.46,4.74
2035,,3.5,4.78
2036,,3.57,4.85
2037,,3.62,4.9
2038,,3.69,4.97
2039,,3.74,5.02
2040,,3.82,5.1
