year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,183701.93,8688.51,131733.71,117347.22
2018,185009.63,8698.87,131733.71,118428.23
2019,186407.95,8708.71,131733.71,120590.26
2020,187932.77,8718.57,131733.71,121671.27
2021,190323.31,8735.52,131733.71,124914.31
2022,191759.81,8745.16,131733.71,125995.32
2023,193567.68,8757.52,131733.71,128157.35
2024,194848.26,8766.5,131733.71,129238.36
2025,196500.03,8777.89,131733.71,131400.39
2026,199371.17,8797.47,131733.71,134643.43
2027,201233.94,8810.35,131733.71,136805.45
2028,202956.06,8822.03,131733.71,138967.48
2029,204534.26,8833.21,131733.71,140048.49
2030,206255.29,8844.89,131733.71,142210.52
2031,208263.79,8858.84,131733.71,144372.54
2032,210056.94,8870.96,131733.71,146534.57
2033,211850.02,8883.24,131733.71,148696.6
2034,214145.29,8899.19,131733.71,150858.62
2035,216010.15,8912.07,131733.71,153020.65
2036,217803.29,8924.25,131733.71,155182.67
2037,219596.44,8936.77,131733.71,157344.7
2038,221819.93,8952.16,131733.71,159506.73
2039,223684.8,8964.88,131733.71,161668.75
2040,225549.67,8977.75,131733.71,163830.78
