year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.49
2004,,1.76,1.99
2005,,2.23,2.69
2006,,2.5,2.63
2008,,3.82,3.68
2009,,2.72,3.1
2010,,3.3,3.76
2011,,3.95,4.12
2012,,4.31,4.07
2013,,4.28,4.22
2014,,4.07,3.96
2016,start of forecast,1.8,2.75
2017,,2.21,3.16
2018,,2.52,3.47
2019,,2.96,3.91
2020,,3.16,4.11
2021,,3.31,4.26
2022,,3.42,4.37
2023,,3.49,4.44
2024,,3.56,4.51
2025,,3.63,4.58
2026,,3.72,4.67
2027,,3.8,4.75
2028,,3.87,4.82
2029,,3.95,4.9
2030,,4.01,4.96
2031,,4.1,5.05
2032,,4.2,5.15
2033,,4.29,5.24
2034,,4.4,5.35
2035,,4.46,5.41
2036,,4.57,5.52
2037,,4.63,5.58
2038,,4.73,5.68
2039,,4.81,5.76
2040,,4.93,5.88
