year,Base case cost,Port heiden wind turbine project,Modeled wind power
2017,414407.271813,,
2018,454966.281395,,
2019,508751.054971,,
2020,533439.14776,,
2021,550191.782152,,
2022,562575.367453,,
2023,570498.964177,,
2024,577556.658865,,
2025,585468.393918,,
2026,596017.373988,,
2027,604808.190714,,
2028,611840.844094,,
2029,623374.342919,,
2030,630487.392075,,
2031,641083.818832,,
2032,651680.24559,,
2033,661288.199702,,
2034,672750.528497,,
2035,678922.551694,,
2036,690384.880489,,
2037,698481.130436,,
2038,709077.557193,,
