year,Base case diesel consumed,Landlocked creek,Port heiden (barabara creek),Port heiden (reindeer creek)
2021,88171.7599603,0.0,0.0,0.0
2022,88039.9636076,-131.796352706,-131.796352706,-131.796352706
2023,88039.9636076,-131.796352706,-131.796352706,-131.796352706
2024,87908.1672549,-263.592705412,-263.592705412,-263.592705412
2025,87908.1672549,-263.592705412,-263.592705412,-263.592705412
2026,87908.1672549,-263.592705412,-263.592705412,-263.592705412
2027,87908.1672549,-263.592705412,-263.592705412,-263.592705412
2028,87908.1672549,-263.592705412,-263.592705412,-263.592705412
2029,88171.7599603,0.0,0.0,0.0
2030,88303.556313,131.796352706,131.796352706,131.796352706
2031,88303.556313,131.796352706,131.796352706,131.796352706
2032,88303.556313,131.796352706,131.796352706,131.796352706
2033,88171.7599603,0.0,0.0,0.0
2034,88171.7599603,0.0,0.0,0.0
2035,88171.7599603,0.0,0.0,0.0
2036,88171.7599603,0.0,0.0,0.0
2037,88303.556313,131.796352706,131.796352706,131.796352706
2038,88303.556313,131.796352706,131.796352706,131.796352706
2039,88303.556313,131.796352706,131.796352706,131.796352706
2040,88303.556313,131.796352706,131.796352706,131.796352706
2041,88303.556313,131.796352706,131.796352706,131.796352706
2042,88303.556313,131.796352706,131.796352706,131.796352706
2043,88435.3526657,263.592705412,263.592705412,263.592705412
2044,88435.3526657,263.592705412,263.592705412,263.592705412
2045,88567.1490184,395.389058118,395.389058118,395.389058118
2046,88567.1490184,395.389058118,395.389058118,395.389058118
2047,88567.1490184,395.389058118,395.389058118,395.389058118
2048,88698.9453711,527.185410824,527.185410824,527.185410824
2049,88698.9453711,527.185410824,527.185410824,527.185410824
2050,88698.9453711,527.185410824,527.185410824,527.185410824
2051,88698.9453711,527.185410824,527.185410824,527.185410824
2052,88698.9453711,527.185410824,527.185410824,527.185410824
2053,88698.9453711,527.185410824,527.185410824,527.185410824
2054,88698.9453711,527.185410824,527.185410824,527.185410824
2055,88698.9453711,527.185410824,527.185410824,527.185410824
2056,88698.9453711,527.185410824,527.185410824,527.185410824
2057,88698.9453711,527.185410824,527.185410824,527.185410824
2058,88698.9453711,527.185410824,527.185410824,527.185410824
2059,88698.9453711,527.185410824,527.185410824,527.185410824
2060,88698.9453711,527.185410824,527.185410824,527.185410824
2061,88698.9453711,527.185410824,527.185410824,527.185410824
2062,88698.9453711,527.185410824,527.185410824,527.185410824
2063,88698.9453711,527.185410824,527.185410824,527.185410824
2064,88698.9453711,527.185410824,527.185410824,527.185410824
2065,88698.9453711,527.185410824,527.185410824,527.185410824
2066,88698.9453711,527.185410824,527.185410824,527.185410824
2067,88698.9453711,527.185410824,527.185410824,527.185410824
2068,88698.9453711,527.185410824,527.185410824,527.185410824
2069,88698.9453711,527.185410824,527.185410824,527.185410824
2070,88698.9453711,527.185410824,527.185410824,527.185410824
