year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,4557191
2004,,0,0,0,0,0,4690881
2005,,0,0,0,0,0,4539265
2006,,0,0,0,0,0,4560899
2007,,0,0,0,0,0,4741135
2008,,0,0,0,0,0,4817579
2009,,0,0,0,0,0,4951827
2010,,0,0,0,0,0,5044916
2011,,0,0,80325,0,0,5111876
2012,,0,0,504832,0,0,5000846
2013,,0,0,516743,0,0,5580043
2014,start of forecast,0,0,367300,0,0,5309700
2015,,0,0,462958,0,0,5249042
2016,,0,0,449000,0,0,5298000
2017,,0,0,426420,0,0,5355580
2018,,0,0,446126,0,0,5371874
2019,,0,0,440515,0,0,5413485
2020,,0,0,437687,0,0,5453313
2021,,0,0,441443,0,0,5486557
2022,,0,0,439882,0,0,5527118
2023,,0,0,439671,0,0,5566329
2024,,0,0,440332,0,0,5605668
2025,,0,0,439961,0,0,5647039
2026,,0,0,439988,0,0,5688012
2027,,0,0,440094,0,0,5729906
2028,,0,0,440014,0,0,5771986
2029,,0,0,440032,0,0,5815968
2030,,0,0,440047,0,0,5860953
2031,,0,0,440031,0,0,5905969
2032,,0,0,440036,0,0,5951964
2033,,0,0,440038,0,0,5997962
2034,,0,0,440035,0,0,6045965
2035,,0,0,440037,0,0,6094963
2036,,0,0,440037,0,0,6143963
2037,,0,0,440036,0,0,6194964
2038,,0,0,440036,0,0,6247964
2039,,0,0,440036,0,0,6299964
2040,,0,0,440036,0,0,6353964
