year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,80264.68,12509.04,61299.95,67444.27
2018,80264.68,12509.43,61299.95,67444.27
2019,80264.68,12510.21,61299.95,67444.27
2020,80264.68,12510.78,61299.95,67444.27
2021,80338.66,12511.33,61299.95,67444.27
2022,80338.66,12511.53,61299.95,67444.27
2023,80338.66,12511.63,61299.95,67444.27
2024,80338.66,12511.83,61299.95,68466.81
2025,80338.66,12512.14,61299.95,68466.81
2026,80338.66,12512.98,61299.95,68466.81
2027,80412.63,12513.74,61299.95,68466.81
2028,80412.63,12514.65,61299.95,68466.81
2029,80412.63,12515.66,61299.95,69489.36
2030,80486.61,12516.54,61299.95,69489.36
2031,80486.61,12517.29,61299.95,69489.36
2032,80486.61,,,69489.36
2033,80486.61,,,69489.36
2034,80560.59,,,70511.9
2035,80560.59,,,70511.9
2036,80560.59,,,70511.9
